SessionID,Round,TimeStamp,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW,VelocityX,VelocityY,VelocityZ,
8037508,0,15.41262,376.7157,5.237762,235.5462,0.3432784,-0.3413004,0.2519184,0.8379804,0.3432784,-0.3413004,0.2519184,
8037508,0,15.51306,376.4545,4.764609,235.8535,0.3442248,-0.3422417,0.2591576,0.8349954,0.3442248,-0.3422417,0.2591576,
8037508,0,15.61308,376.1804,4.276345,236.1753,0.3491396,-0.3412333,0.257761,0.8337989,0.3491396,-0.3412333,0.257761,
8037508,0,15.71361,375.9138,3.857783,236.5189,0.341103,-0.3305529,0.2235426,0.8511242,0.341103,-0.3305529,0.2235426,
8037508,0,15.8152,375.6392,3.497424,236.8688,0.3347262,-0.3233542,0.195816,0.8631666,0.3347262,-0.3233542,0.195816,
8037508,0,15.90843,375.3559,3.189979,237.2194,0.3311023,-0.3183299,0.1725835,0.8713508,0.3311023,-0.3183299,0.1725835,
8037508,0,16.00941,375.0715,2.877469,237.5665,0.3276535,-0.3123793,0.1357404,0.8812701,0.3276535,-0.3123793,0.1357404,
8037508,0,16.11,374.7888,2.559162,237.9121,0.3218074,-0.3044848,0.09488422,0.8914741,0.3218074,-0.3044848,0.09488422,
8037508,0,16.21033,374.515,2.292606,238.2501,0.2880009,-0.2977764,0.07549406,0.90702,0.2880009,-0.2977764,0.07549406,
8037508,0,16.3119,374.2546,2.030483,238.5806,0.2359072,-0.2965941,0.07074115,0.9227001,0.2359072,-0.2965941,0.07074115,
8037508,0,16.41241,374.0063,1.788222,238.9131,0.1873081,-0.3056445,0.08027161,0.9300826,0.1873081,-0.3056445,0.08027161,
8037508,0,16.51382,373.7646,1.592642,239.2362,0.1586201,-0.3128769,0.0637943,0.9342794,0.1586201,-0.3128769,0.0637943,
8037508,0,16.61492,373.5294,1.447546,239.5356,0.159883,-0.3103918,0.04330251,0.9360659,0.159883,-0.3103918,0.04330251,
8037508,0,16.71592,373.3186,1.333126,239.8134,0.1516132,-0.3084091,0.03900935,0.9382834,0.1516132,-0.3084091,0.03900935,
8037508,0,16.81644,373.1291,1.236273,240.0693,0.1413514,-0.3082727,0.03802481,0.9399691,0.1413514,-0.3082727,0.03802481,
8037508,0,16.91739,372.9468,1.150376,240.3071,0.1328688,-0.3103215,0.03806303,0.9405305,0.1328688,-0.3103215,0.03806303,
8037508,0,17.01804,372.7366,1.065646,240.5444,0.1261435,-0.3182504,0.03226713,0.9390225,0.1261435,-0.3182504,0.03226713,
8037508,0,17.11871,372.4941,0.9849673,240.7725,0.118032,-0.3334944,0.02811728,0.9349114,0.118032,-0.3334944,0.02811728,
8037508,0,17.21938,372.2205,0.904743,240.983,0.1114455,-0.3549272,0.02488385,0.9278941,0.1114455,-0.3549272,0.02488385,
8037508,0,17.32007,371.9213,0.8245451,241.1796,0.1059901,-0.3791019,0.02171737,0.9190083,0.1059901,-0.3791019,0.02171737,
8037508,0,17.40608,371.5997,0.7487609,241.3633,0.09946813,-0.4046095,0.0174455,0.9088966,0.09946813,-0.4046095,0.0174455,
8037508,0,17.50682,371.2582,0.6889442,241.5322,0.09118758,-0.4311252,0.01409889,0.8975618,0.09118758,-0.4311252,0.01409889,
8037508,0,17.60821,370.8993,0.6241578,241.6844,0.08537775,-0.4581448,0.01126704,0.8846961,0.08537775,-0.4581448,0.01126704,
8037508,0,17.71025,370.5237,0.5644504,241.819,0.08095112,-0.4850631,0.00629785,0.8707015,0.08095112,-0.4850631,0.00629785,
8037508,0,17.81152,370.1338,0.5151577,241.9315,0.07420847,-0.5126406,0.007012237,0.8553617,0.07420847,-0.5126406,0.007012237,
8037508,0,17.91217,369.7404,0.4714446,242.0188,0.06894657,-0.5393597,0.004811358,0.8392344,0.06894657,-0.5393597,0.004811358,
8037508,0,18.01219,369.3896,0.433753,242.0732,0.06410775,-0.5627818,0.001230195,0.8241149,0.06410775,-0.5627818,0.001230195,
8037508,0,18.11338,369.0892,0.4098611,242.1023,0.05962059,-0.5825604,0.000847891,0.8105974,0.05962059,-0.5825604,0.000847891,
8037508,0,18.2141,368.8394,0.393636,242.1168,0.05648148,-0.5988612,0.0004466548,0.7988585,0.05648148,-0.5988612,0.0004466548,
8037508,0,18.31481,368.6342,0.3767734,242.1213,0.05454213,-0.6121038,-0.0009710938,0.7888937,0.05454213,-0.6121038,-0.0009710938,
8037508,0,18.41753,368.4642,0.3618986,242.1202,0.05287238,-0.6228895,-0.001833096,0.780519,0.05287238,-0.6228895,-0.001833096,
8037508,0,18.51042,368.3258,0.3501013,242.1162,0.05149726,-0.6315977,-0.002588756,0.7735797,0.05149726,-0.6315977,-0.002588756,
8037508,0,18.61199,368.209,0.3423976,242.1102,0.05059319,-0.638891,-0.00284116,0.7676265,0.05059319,-0.638891,-0.00284116,
8037508,0,18.71282,368.091,0.3338041,242.1015,0.04982479,-0.6463718,-0.003292896,0.761387,0.04982479,-0.6463718,-0.003292896,
8037508,0,18.81416,367.949,0.3249024,242.0874,0.04887347,-0.6548648,-0.003456168,0.7541562,0.04887347,-0.6548648,-0.003456168,
8037508,0,18.91431,367.7606,0.3145278,242.0642,0.04756017,-0.6657338,-0.003387585,0.7446644,0.04756017,-0.6657338,-0.003387585,
